,description,link,location,phone,service_name,va_facility
3136,The Virtual Lifetime Electronic Record  program allows for the electronic sharing of Veteran health information.,/services/Virtual_Lifetime_Electronic_Record.asp,"Building 143, Main LobbyMy Healthe Vet Connection",540-982-2463 Ext. X4413,Virtual Lifetime Electronic Record,www.salem
3137,Visual Impairment Services Team - VIST - assists legally blind and severely visually impaired Veterans and their families adjust to vision loss.,/services/Visual_Impairment_Services_Team_VIST.asp,Salem VAMC Building 143 Eye Clinic 1FG-120,540-982-2463 Ext. 3356  540-982-2463 Ext. 2826,Visual Impairment Services Team - VIST,www.salem
3138,Womens Veterans Health program offers gender-specific services to female Veterans,/services/Women_Veterans_Health_Program.asp,Salem VAMC,540-982-2463 Ext. 3830,Women Veterans Health Program,www.salem
3139,"Provides vision rehabilitation to veterans with visual impairment, legal blindness, functional vision difficulty, and visual complications of traumatic brain injury.",/services/Advanced_Low_Vision_Clinic.asp,Building 3,704-638-9000 Ext. 2990  336-768-3296 Ext. 1483,Advanced Low Vision Clinic,www.salisbury
3140,Radiology is a specialty service that deals with imaging techniques. These images help with the diagnosis and treatment of any number of disorders.,/services/Imaging_Radiology.asp,Building 22nd Floor,704-638-9000 Ext. 3390,CT scan,www.salisbury
3141,We provide comprehensive noninvasive cardiology care.,/services/Cardiology.asp,Building 25th Floor,704-638-9000,Cardiology,www.salisbury
3142,Geriatrics and Extended Care Services is committed to optimizing the health and well-being of Veterans.,/services/Geriatrics.asp,Building 42,704-638-9000 Ext. 3417,Community Living Center (CLC),www.salisbury
3143,"If you served in the active military service and were separated under any condition other than dishonorable, you may qualify for VA health care benefits.",/services/Eligibility.asp,"Eligibility OfficeBuilding 3, First floor",704-638-9000 Ext. 3470  800-469-8262 Ext. 3470,Dental,www.salisbury
3144,"Dental Services deals with the prevention or treatment of diseases of the teeth, gums, and oral cavity.",/services/Dental_Service.asp,Building 21st floor next to Pharmacy,704-638-3373,Dental Services,www.salisbury
3145,Radiology is a specialty service that deals with imaging techniques. These images help with the diagnosis and treatment of any number of disorders.,/services/Imaging_Radiology.asp,Building 22nd Floor,704-638-9000 Ext. 3390,Diagnostics,www.salisbury
3146,"If you served in the active military service and were separated under any condition other than dishonorable, you may qualify for VA health care benefits.",/services/Eligibility.asp,"Eligibility OfficeBuilding 3, First floor",704-638-9000 Ext. 3470  800-469-8262 Ext. 3470,Eligibility,www.salisbury
3147,"If you served in the active military service and were separated under any condition other than dishonorable, you may qualify for VA health care benefits.",/services/Eligibility.asp,"Eligibility OfficeBuilding 3, First floor",704-638-9000 Ext. 3470  800-469-8262 Ext. 3470,Enrollment,www.salisbury
3148,"Our extended care and rehabilitation program provides physical medicine and rehabilitation, transitional care, as well as home and community care.",/services/ecrc.asp,Buildings 42 and 43,704-638-9000  800-469-8262,Extended Care and Rehabilitation,www.salisbury
3149,From Warrior to Soul Mate Weekend Couples Retreats. Reclaim your Relationship after Military Service.,/services/From_Warrior_to_Soul_Mate.asp,Salisbury VAMCChaplains Office,704-638-3330,From Warrior to Soul Mate,www.salisbury
3150,Geriatrics and Extended Care Services is committed to optimizing the health and well-being of Veterans.,/services/Geriatrics.asp,Building 42,704-638-9000 Ext. 3417,Geriatrics and Extended Care,www.salisbury
3151,"If you served in the active military service and were separated under any condition other than dishonorable, you may qualify for VA health care benefits.",/services/Eligibility.asp,"Eligibility OfficeBuilding 3, First floor",704-638-9000 Ext. 3470  800-469-8262 Ext. 3470,Hardship,www.salisbury
3152,"The hoptel provides overnight accomodations for Veterans with scheduled clinic appointments or procedures offering a bed, linens, private bath, and an evening meal.",/services/Hoptel.asp,,704-638-9000,Hoptel,www.salisbury
3153,Geriatrics and Extended Care Services is committed to optimizing the health and well-being of Veterans.,/services/Geriatrics.asp,Building 42,704-638-9000 Ext. 3417,Hospice,www.salisbury
3154,Radiology is a specialty service that deals with imaging techniques. These images help with the diagnosis and treatment of any number of disorders.,/services/Imaging_Radiology.asp,Building 22nd Floor,704-638-9000 Ext. 3390,Imaging/Radiology,www.salisbury
3155,Please call or visit our Lost and Found Department if you have misplaced or found a personal item during your visit.,/services/Lost_and_Found.asp,"Building 2, First floor, Room 1016",704-638-9000 Ext. 0  800-469-8262 Ext. 0,Lost and Found,www.salisbury
3156,Radiology is a specialty service that deals with imaging techniques. These images help with the diagnosis and treatment of any number of disorders.,/services/Imaging_Radiology.asp,Building 22nd Floor,704-638-9000 Ext. 3390,MRI,www.salisbury
3157,"If you served in the active military service and were separated under any condition other than dishonorable, you may qualify for VA health care benefits.",/services/Eligibility.asp,"Eligibility OfficeBuilding 3, First floor",704-638-9000 Ext. 3470  800-469-8262 Ext. 3470,Means test,www.salisbury
3158,The program increases local awareness of minority veteran related issues and develops strategies for increasing Veteran participation in existing VA benefits programs.,/services/Minority_Veterans_Program.asp,"W. G. (Bill) Hefner VA Medical Center1601 Brenner AveSalisbury, NC 28144",704-638-9000 Ext. 5582,Minority Veterans Program,www.salisbury
3159,Radiology is a specialty service that deals with imaging techniques. These images help with the diagnosis and treatment of any number of disorders.,/services/Imaging_Radiology.asp,Building 22nd Floor,704-638-9000 Ext. 3390,Nuclear medicine,www.salisbury
3160,Geriatrics and Extended Care Services is committed to optimizing the health and well-being of Veterans.,/services/Geriatrics.asp,Building 42,704-638-9000 Ext. 3417,Nursing Home,www.salisbury
3161,Womens Health,/services/Obstetrics.asp,Womens Health,704-638-9000,Obstetrics,www.salisbury
3162,Radiology is a specialty service that deals with imaging techniques. These images help with the diagnosis and treatment of any number of disorders.,/services/Imaging_Radiology.asp,Building 22nd Floor,704-638-9000 Ext. 3390,PET scan,www.salisbury
3163,"Whether your doctors want to check your cholesterol, your blood count, or even a throat culture, the laboratory is the place they turn.",/services/Pathology_Lab.asp,Building 22nd Floor,704-638-9000 Ext. 3410,Pathology/Lab,www.salisbury
3164,"Also known as the Veterans Canteen Service, The Patriot Services offer a variety of convenience for Veterans, their families, and the employees of the medical center.",/services/Patriot_Services_Canteen.asp,See Description,704-638-9000,Patriot Services (Canteen),www.salisbury
3165,Rehabilitative Medicine is a medical specialty which is devoted to the treatment of patients with diseases and injuries that decrease mental and physical functions.,/services/Physical_Medicine_Rehabilitation_Service.asp,See Description,704-638-9000 Ext. 3107 or 3052,Physical Medicine & Rehabilitation Service,www.salisbury
3166,The predoctoral internship program at the Salisbury VA Medical Center is fully accredited by the American Psychological Association.,/services/Psychology.asp,"1601 Brenner AvenueSalisbury, NC 28144",704-638-9000 Ext. 3175,Psychology Services,www.salisbury
3167,Radiology is a specialty service that deals with imaging techniques. These images help with the diagnosis and treatment of any number of disorders.,/services/Imaging_Radiology.asp,Building 22nd Floor,704-638-9000 Ext. 3390,Radiograph,www.salisbury
3168,Radiology is a specialty service that deals with imaging techniques. These images help with the diagnosis and treatment of any number of disorders.,/services/Imaging_Radiology.asp,Building 22nd Floor,704-638-9000 Ext. 3390,Radiology,www.salisbury
3169,Recreation Therapy provides a range of activities and programs to help Veterans learn how to cope recreationally with injuries and select positive activities.,/services/Recreational_Therapy.asp,Building 6,704-638-9000 Ext. 3460,Recreational Therapy,www.salisbury
3170,"Our Rural Health Integration Program is committed to improving health care access, education and information for Veterans in rural areas.",/services/Rural_Health_Initiative.asp,"1601 Brenner Ave.Building 11ASalisbury, NC  28144",704-638-9000 Ext. 4958/4960,Rural Health Integration Program,www.salisbury
3171,"Our specialty care program offers all surgical specialties as well as neurology, radiation, oncology, and audiology.",/services/specialty.asp,Building 21,704-638-9000  800-469-8262,Specialty Care,www.salisbury
3172,"If you served in the active military service and were separated under any condition other than dishonorable, you may qualify for VA health care benefits.",/services/Eligibility.asp,"Eligibility OfficeBuilding 3, First floor",704-638-9000 Ext. 3470  800-469-8262 Ext. 3470,Travel,www.salisbury
3173,Radiology is a specialty service that deals with imaging techniques. These images help with the diagnosis and treatment of any number of disorders.,/services/Imaging_Radiology.asp,Building 22nd Floor,704-638-9000 Ext. 3390,Ultrasound,www.salisbury
3174,"Living at home can become hard for people who need help with their care. In times like this, the VA Medical Foster Home Program can help.",/services/VA_Medical_Foster_Home_Program.asp,"1601 Brenner Ave.Salisbury, NC 28144",704-639-2370 Ext. 8657,VA Medical Foster Home Program,www.salisbury
3175,The Hefner VA Medical Center VIST Program helps legally blind and severely visually impaired Veterans and their families adjust to severe vision loss.,/services/Visual_Impairment_Services_Team.asp,Winston-Salem CBOCCharlotte CBOC,336-768-3296 Ext. 1483  704-597-3500 Ext. 7428,Visual Impairment Services Team - VIST,www.salisbury
3176,Volunteers are a priceless asset for Veterans and the Department of Veterans Affairs.,/services/Volunteer_or_Give.asp,Voluntary Service OfficeBuilding 6,704-638-3409,Voluntary Services,www.salisbury
3177,"If you served in the active military service and were separated under any condition other than dishonorable, you may qualify for VA health care benefits.",/services/Eligibility.asp,"Eligibility OfficeBuilding 3, First floor",704-638-9000 Ext. 3470  800-469-8262 Ext. 3470,Waiver,www.salisbury
3178,Womens Health services offered through the Women Veterans program,/services/Women_Veterans_Health.asp,Salisbury VAMC,704-638-9000 Ext. 4949,Women Veterans Health,www.salisbury
3179,Radiology is a specialty service that deals with imaging techniques. These images help with the diagnosis and treatment of any number of disorders.,/services/Imaging_Radiology.asp,Building 22nd Floor,704-638-9000 Ext. 3390,X-ray,www.salisbury
3180,Radiology is a specialty service that deals with imaging techniques. These images help with the diagnosis and treatment of any number of disorders.,/services/Imaging_Radiology.asp,Building 22nd Floor,704-638-9000 Ext. 3390,Xray,www.salisbury
3181,The Low Vision Program purpose is to improve the quality of life for all veterans who are visually impaired.,/services/low_vision.asp,"Building 1, 4th Floor, Room 4B23",801-582-1565 Ext. 1574,Advanced Low Vision Clinic,www.saltlakecity
